movieId,nameMovie,guionistas,subjects,directores,actores,genres
158430,About Mrs. Leslie (1954),Ketti Frings| Hal Kanter| Viña Delmar,,Daniel Mann,Shirley Booth| Robert Ryan| Marjie Millar| Alex Nicol,
130574,Something Wicked (2014),Joseph Mungra| Joe Colleran,,Darin Scott,Brittany Murphy| Shantel VanSanten| James Patrick Stuart| Julian Morris,
131914,Dangerous Curves (1989),Paul Brown| Michael Zand| Michael Dugan,,David Lewis,Danielle von Zerneck| Grant Heslov| Valerie Breiman| Tate Donovan,
181737,Martians Go Home (1990),Charles S. Haas| Fredric Brown,,David Odell,John Philbin| Randy Quaid| Margaret Colin| Anita Morris,
65538,Young Visiters| The (2003),Patrick Barlow| Daisy Ashford,,David Yates,Bill Nighy| Hugh Laurie| Jim Broadbent| Lyndsey Marshal,
6682,Earth (1998),Bapsi Sidhwa,,Deepa Mehta,Nandita Das| Rahul Khanna| Aamir Khan| Maia Sethna,
137367,Supremacy (2014),Eric J. Adams,,Deon Taylor,Derek Luke| Joe Anderson| Evan Ross| Dawn Olivieri,
116734,7eventy 5ive (2007),Vashon Nutt,,Deon Taylor,Gwendoline Yeo| Rutger Hauer| Antwon Tanner| Brian Hooks,
153380,Après lamour (1992),Antoine Lacomblez,,Diane Kurys,Isabelle Huppert| Lio| Bernard Giraudeau| Hippolyte Girardot,
98595,Peppermint Soda (Diabolo menthe) (1977),Alain Le Henry,,Diane Kurys,Anouk Ferjac| Odile Michel| Eléonore Klarwein| Michel Puterflam,
118226,Bus Rileys Back In Town (1965),William Inge,,Harvey Hart,Michael Parks| Ann-Margret| Janet Margolin| Brad Dexter,
155880,Riding the Edge (1989),Ronald A. Suppa,,James Fargo,Peter Haskell| Raphael Sbarge| Lyman Ward| Catherine Mary Stewart| Benny Bruchim,
138946,Kevin (2011),J. Davis,,Jay Duplass,Kai Parham| Cedric Bates| Mobolaji Komolafe,
165479,Trancers 6: Life After Deth (2002),Danny Bilson| C. Courtney Joyner| Paul De Meo,,Jay Woelfel,Robert Donavan| Zette Sullivan| Timothy Prindle| Jennifer Capo,
109843,Blessed and Cursed (2010),Allison Elizabeth Brown,,Joel Kapity,"Damita Haddon| Deitrick Haddon| ""Kierra Kiki Sheard""",
48596,Marine| The (2006),Alan B. McElroy| Michelle Gallagher,,John Bonito,Anthony Ray Parker| Kelly Carlson| Robert Patrick| John Cena,
969,African Queen| The (1951),John Collier| James Agee| C.S. Forester| Peter Viertel,Films_set_in_1914|Horizon_Pictures_films|Films_based_on_British_novels|Films_shot_in_Turkey|United_Artists_films|United_States_National_Film_Registry_films|1951_films|American_films|Articles_containing_video_clips|British_films|English-language_films|Films_shot_in_England|German-language_films|1950s_adventure_drama_films|1950s_romance_films|1951_drama_films|American_adventure_drama_films|Swahili-language_films|Films_based_on_works_by_C._S._Forester|Films_directed_by_John_Huston|Films_featuring_a_Best_Actor_Academy_Award-winning_performance|Films_produced_by_Sam_Spiegel|Films_set_in_Burundi|Films_set_in_Rwanda|Films_set_in_Tanzania|Films_set_in_jungles|Films_shot_in_the_Democratic_Republic_of_the_Congo|Films_shot_in_the_United_States|Films_with_screenplays_by_James_Agee|Films_with_screenplays_by_John_Huston|British_adventure_drama_films|Films_based_on_romance_novels|Films_shot_in_Uganda|World_War_I_naval_films|World_War_I_films_set_in_Africa,John Huston,Peter Bull| Katharine Hepburn| Humphrey Bogart| Robert Morley,Adventure|Comedy|Romance|War
152326,Freddie as F.R.O.7. (1992),Peter Gardner,,Jon Acevski,Jenny Agutter| Brian Blessed| David Ashton| Ben Kingsley,
120488,The Call of the Wild (1972),Federico De Urrutia| Harry Alan Towers| Hubert Frank| Jack London| Tíbor Reves,,Ken Annakin,Michèle Mercier| Charlton Heston| George Eastman| Raimund Harmstorf,
34065,Billion Dollar Brain (1967),John McGrath| Len Deighton,,Ken Russell,Ed Begley| Michael Caine| Oskar Homolka| Karl Malden,
5768,Modern Problems (1981),Arthur Sellers| Tom Sherohman,,Ken Shapiro,"Mary Kay Place| Dabney Coleman| Chevy Chase| ""Patti DArbanville""",
104337,Lee Daniels The Butler (2013),Danny Strong| Wil Haygood,,Lee Daniels,John Cusack| Oprah Winfrey| Jane Fonda| Forest Whitaker,
136848,Shabd (2005),Sutapa Sikdar,,Leena Yadav,Aakash Pandey| Sanjay Dutt| Aishwarya Rai Bachchan| Zayed Khan,
169776,Love on Delivery (1994),Vincent Kok,,Lik-Chi Lee,Stephen Chow| Christy Chung| Man-Tat Ng| Philip Chan,
184857,Contraband (1980),Gianni De Chiara| Giorgio Mariuzzo| Ettore Sanzò,,Lucio Fulci,Fabio Testi| Saverio Marconi| Marcel Bozzuffi| Ivana Monti,
124779,Home of the Brave (1949),Arthur Laurents| Carl Foreman,,Mark Robson,Lloyd Bridges| Steve Brodie| Douglas Dick| Jeff Corey,
69606,Ghosts of Girlfriends Past (2009),Jon Lucas| Scott Moore,,Mark Waters,Matthew McConaughey| Michael Douglas| Jennifer Garner| Emma Stone,
162150,Lets Be Evil (2016),Jonathan Willis,,Martin Owen,Chase Bowman| Sophie Willis| Elizabeth Morris| Jules Brown,
184071,Psycho IV: The Beginning (1990),Joseph Stefano| Robert Bloch,,Mick Garris,Henry Thomas| Anthony Perkins| CCH Pounder| Olivia Hussey,
82300,Cotton Comes to Harlem (1970),Chester Himes| Arnold Perl,,Ossie Davis,Godfrey Cambridge| Raymond St. Jacques| Calvin Lockhart| Judy Pace,
111638,An Enemy of the People (1966),Arthur Miller| Henrik Ibsen,,Paul Bogart,Ken Kercheval| Lou Gilbert| Barbara Dana| William Hansen| James Daly| Philip Bosco,
55094,In the Valley of Elah (2007),Mark Boal,,Paul Haggis,Jonathan Tucker| Jason Patric| Charlize Theron| Tommy Lee Jones,
31724,Pauly Shore Is Dead (2003),Kirk Fox,,Pauly Shore,Beaumont Bacon| Ashley L. Anderson| Camille Anderson,
4529,Bagdad Cafe (Out of Rosenheim) (1987),Eleonore Adlon| Christopher Doherty,,Percy Adlon,Marianne Sägebrecht| CCH Pounder| Jack Palance| Christine Kaufmann,
140269,Homeless to Harvard: The Liz Murray Story (2003),Ronni Kern,,Peter Levin,Makyla Smith| Thora Birch| Robert Bockstael| Michael Riley,
160273,Aarakshan (2011),Anjum Rajabali,,Prakash Jha,Amitabh Bachchan| Manoj Bajpayee| Deepika Padukone| Saif Ali Khan,
112563,Brother Rat and a Baby (1940),Fred F. Finklehoffe| Richard Macaulay| Earl Baldwin| Jerry Wald| John Monks Jr.,,Ray Enright,Jane Bryan| Eddie Albert| Wayne Morris| Priscilla Lane,
3931,Giant Gila Monster| The (1959),Jay Simms,,Ray Kellogg,Fred Graham| Shug Fisher| Don Sullivan| Lisa Simone,
147202,Beauties of the Night (1952),Gian Luigi Rondi| Jean-Pierre Grédy| Pierre Barillet,,René Clair,Gérard Philipe| Magali Vendeuil| Gina Lollobrigida| Martine Carol,
100093,Death Race 3: Inferno (2012),Charles B. Griffith| Paul W.S. Anderson| Robert Thom| Tony Giglio,,Roel Reiné,Danny Trejo| Ving Rhames| Luke Goss| Tanit Phoenix,
165935,Vice and Virtue (1963),Claude Choublier| Roger Vailland| Marquis de Sade,,Roger Vadim,Robert Hossein| Annie Girardot| Catherine Deneuve| O.E. Hasse,
164159,Default (2014),Jim Wolfe Jr.| Dan Bence,,Simon Brand,David Oyelowo| Katherine Moennig| Greg Callahan| Stephen Lord,
7639,Nice Guys Sleep Alone (1999),Bruce Feirstein,,Stu Pollard,"""Sean OBryan""| Michael Greene| Blake Steury| Susannah Cranage",
166719,Len and Company (2015),Katharine Knight,,Tim Godsall,Keir Gilchrist| Rhys Ifans| Juno Temple| Jack Kilmer,
2377,Lifeforce (1985),"""Dan OBannon""| Olaf Pooley| Michael Armstrong| Colin Wilson| Don Jakoby",Succubi_in_popular_culture|1985_films|Alien_invasions_in_films|Films_about_extraterrestrial_life|Films_based_on_British_novels|Films_scored_by_Henry_Mancini|Films_set_in_the_future|Films_shot_at_Elstree_Studios|Golan-Globus_films|British_films|English-language_films|Alien_abduction_films|1980s_science_fiction_horror_films|1985_horror_films|Films_based_on_science_fiction_novels|Films_directed_by_Tobe_Hooper|British_science_fiction_horror_films|British_space_adventure_films|British_zombie_films|Halley's_Comet_in_fiction|Films_based_on_horror_novels|TriStar_Pictures_films|Vampires_in_film,Tobe Hooper,Frank Finlay| Mathilda May| Steve Railsback| Peter Firth,Horror|Sci-Fi
3716,Fatal Beauty (1987),Bill Svanoe| Hilary Henkin| Dean Riesner,American_action_comedy_films|American_comedy_thriller_films|American_police_detective_films|1980s_action_thriller_films|1987_films|American_action_thriller_films|American_films|English-language_films|Films_set_in_Los_Angeles|Metro-Goldwyn-Mayer_films|1980s_action_comedy_films|1980s_police_comedy_films|1987_comedy_films|Films_directed_by_Tom_Holland|Films_scored_by_Harold_Faltermeyer|Films_about_drugs,Tom_Holland_(director),Rubén_Blades|Sam_Elliott|John_P._Ryan_(actor)|Jennifer_Warren|Whoopi_Goldberg|Harris_Yulin,Action|Comedy|Crime|Drama
138916,Ticks (1993),Brent V. Friedman,,Tony Randel,Virginya Keehne| Rosalind Allen| Seth Green| Ami Dolenz,
5049,48 Hrs. (1982),Steven E. de Souza| Roger Spottiswoode| Larry Gross,,Walter Hill,"Eddie Murphy| Nick Nolte| ""Annette OToole""| Frank McRae",
179521,Free Willy: Escape From Pirates Cove (2010),Keith Walker| Cindy McCreery,,Will Geiger,Siyabulela Ramba| Bindi Irwin| Bongo Mbutuma| Beau Bridges,
50245,Alice in the Cities (Alice in den Stadten) (1974),Veith von Fürstenberg,,Wim Wenders,Lisa Kreuzer| Edda Köchl| Rüdiger Vogler| Yella Rottländer,
81172,Spring Subway (2002),Fendou Liu,,Yibai Zhang,Le Geng| Lan Ke| Yang Zhang| Yuanyuan Gao,
86766,My Dear Enemy (Meotjin haru) (2008),Asuko Taira| Eun-yeong Park,,Yoon-ki Lee,Jung-woo Ha| Jeon Do-yeon| Il-hwa Choi| Ju-bong Gi,
113263,Very Happy Alexander (Alexandre le bienheureux) (1968),Pierre Lévy-Corti,,Yves Robert,Paul Le Person| Philippe Noiret| Marlène Jobert| Françoise Brion,
193073,Stree (2018),Sumit Arora| Krishna D.K.| Pawan Sony| Raj Nidimoru,,Amar Kaushik,Rajkummar Rao| Shraddha Kapoor| Pankaj Tripathi| Aparshakti Khurana,
3155,Anna and the King (1999),Peter Krikes| Anna Leonowens| Steve Meerson,1999_films|20th_Century_Fox_films|Films_about_interracial_romance|Films_set_in_Thailand|American_films|American_romantic_drama_films|Drama_films_based_on_actual_events|English-language_films|Censored_films|1990s_romantic_drama_films|Films_about_interclass_romance|Films_directed_by_Andy_Tennant|Films_scored_by_George_Fenton|Films_set_in_the_19th_century|Films_set_in_the_Victorian_era|Films_shot_in_Malaysia|Films_with_screenplays_by_Peter_Krikes|Films_with_screenplays_by_Steve_Meerson|1999_drama_films|Cultural_depictions_of_Anna_Leonowens|Cultural_depictions_of_Mongkut|Monarchy_in_fiction,Andy Tennant,Jodie Foster| Bai Ling| Chow Yun-Fat| Tom Felton,Drama|Romance
166128,Dr. Broadway (1942),Art Arthur| Borden Chase,,Anthony Mann,Richard Lane| J. Carrol Naish| Macdonald Carey| Jean Phillips| Eduardo Ciannelli,
79060,Far North (2007),Sara Maitland| Tim Miller,,Asif Kapadia,Gary Pillai| Michelle Yeoh| Sean Bean| Michelle Krusiec,
6793,Beethoven (1992),Amy Holden Jones| John Hughes,,Brian Levant,Bonnie Hunt| Charles Grodin| Dean Jones| Nicholle Tom,
141309,Street Kings 2: Motor City (2011),Eddie Gonzalez| Jeremy Haft,,Chris Fisher,Shawn Hatosy| Ray Liotta| Clifton Powell| Scott Norman,
93764,Meeting Evil (2012),Thomas Berger,,Chris Fisher,Leslie Bibb| Samuel L. Jackson| Peyton List| Luke Wilson,
96112,Taistelu Näsilinnasta 1918 (2012),Robert Alftan,,Claes Olsson,Nicke Lignell| Anton Häggblom| Petter Kevin| Willhelm Grotenfelt,
5102,Rookie of the Year (1993),Sam Harper,,Daniel Stern,Gary Busey| Thomas Ian Nicholas| Amy Morton| Albert Hall,
180753,Look For The Silver Lining (1949),Bert Kalmar| Henry Ephron| Harry Ruby| Phoebe Ephron| Marian Spitzer,,David Butler,June Haver| Charles Ruggles| Gordon MacRae| Ray Bolger,
127640,I Start Counting (1970),Richard Harris| Audrey Erskine-Lindop,,David Greene,Clare Sutcliffe| Bryan Marshall| Simon Ward| Jenny Agutter,
108074,Favorite Deadly Sins (1995),Lee Biondi| Michael Barrie| Ann Lembeck| Jim Mulholland,,David Jablin,Joe Mantegna| Farrah Forke| Denis Leary| Andrew Dice Clay,
165617,Diane (1956),John Erskine| Christopher Isherwood,,David Miller,Lana Turner| Roger Moore| Marisa Pavan| Pedro Armendáriz,
4228,Heartbreakers (2001),Stephen Mazur| Paul Guay| Robert Dunn,,David Mirkin,Ray Liotta| Sigourney Weaver| Gene Hackman| Jennifer Love Hewitt,
120386,Frankenstein (1992),Mary Shelley,,David Wickes,Randy Quaid| Patrick Bergin| Lambert Wilson| John Mills,
133181,Sommer i Tyrol (1964),Erik Charell| Peer Guldbrandsen,,Erik Balling,Lone Hertz| Susse Wold| Dirch Passer| Ove Sprogøe,
155654,Home Is the Hero (1959),Philip Howard| Henry Keating,,Fielder Cook,"Eileen Crowe| Arthur Kennedy| ""Joan OHara""| Walter Macken",
163350,Waikiki Wedding (1937),Don Hartman| Walter DeLeon| Frank Butler| Francis Martin,,Frank Tuttle,Martha Raye| Shirley Ross| Bob Burns| Bing Crosby,
188285,The Grey Wolf & The Riding Hood (1990),Yuriy Entin,,Garri Bardin,Elizaveta Razinova| Svetlana Stepchenko| Armen Dzhigarkhanyan| Yevdokiya Urusova,
165579,Utu (1984),Keith Aberdein,,Geoff Murphy,Bruno Lawrence| Kelly Johnson| Tim Elliott| Anzac Wallace,
129447,Legalese (1998),Billy Ray,,Glenn Jordan,James Garner| Gina Gershon| Mary-Louise Parker| Edward Kerr,
68645,Man in the Middle (1963),Willis Hall| Howard Fast| Keith Waterhouse,,Guy Hamilton,Trevor Howard| Barry Sullivan| France Nuyen| Robert Mitchum,
151547,Daawat-e-Ishq (2014),Jyoti Kapoor,,Habib Faisal,Parineeti Chopra| Aditya Roy Kapoor| Karan Wahi| Anupam Kher,
25812,Scarlet Pimpernel| The (1934),Baroness Emmuska Orczy| Alexander Korda| Montagu Barstow,,Harold Young,Leslie Howard| Raymond Massey| Merle Oberon| Nigel Bruce,
53771,Alice in Wonderland (1985),Paul Zindel| Lewis Carroll,,Harry Harris,Sheila Allen| Red Buttons| Natalie Gregory| Sharee Gregory,
134298,The Mutations (1974),Edward Mann| Robert D. Weinbach,,Jack Cardiff,Tom Baker| Donald Pleasence| Julie Ege| Brad Harris,
57017,Pumpkin Eater| The (1964),Penelope Mortimer| Harold Pinter,,Jack Clayton,Peter Finch| Janine Gray| James Mason| Anne Bancroft,
2097,Something Wicked This Way Comes (1983),Ray Bradbury,Films_based_on_American_horror_novels|American_supernatural_horror_films|American_supernatural_thriller_films|Circus_films|Films_based_on_American_novels|Films_set_in_the_1920s|Walt_Disney_Pictures_films|1983_films|American_films|American_dark_fantasy_films|American_fantasy_films|1980s_fantasy_films|1983_horror_films|Films_based_on_fantasy_novels|Films_based_on_works_by_Ray_Bradbury|Films_directed_by_Jack_Clayton|Films_with_screenplays_by_Ray_Bradbury|Bryna_Productions_films|Films_about_witchcraft|Films_scored_by_James_Horner,Jack Clayton,Royal Dano| Jason Robards| Diane Ladd| Jonathan Pryce,Children|Drama|Fantasy|Mystery|Thriller
156045,Mountain Family Robinson (1979),Michael O. Sajbel| Arthur R. Dubs,,Jack Couffer,Robert Logan| Susan Damante| Heather Rattray| Ham Larsen,
174045,Goon: Last of the Enforcers (2017),Adam Frattasio| Douglas Smith| Evan Goldberg| Jesse Chabot,,Jay Baruchel,Seann William Scott| Liev Schreiber| Alison Pill| Marc-André Grondin,
127865,Gargoyle (2004),Anthony L. Greene| William Langlois| Ion Ionescu,,Jim Wynorski,Sandra Hess| Michael Paré| Kate Orsini| Fintan McKeown,
104736,Closed Circuit (2013),Steven Knight,,John Crowley,Jim Broadbent| Ciarán Hinds| Rebecca Hall| Eric Bana,
3907,Prince of Central Park| The (1999),Evan Rhodes,2000_directorial_debut_films|Films_scored_by_Theodore_Shapiro|Films_set_in_Manhattan|2000_drama_films|2000_films|American_drama_films|American_film_remakes|American_films,John Leekley,Kathleen Turner| Frankie Nasso| Danny Aiello| Cathy Moriarty,Action|Adventure|Drama
143957,Dont Be Afraid of the Dark (1973),Nigel McKeand,,John Newland,William Demarest| Jim Hutton| Kim Darby| Barbara Anderson,
158559,La Truite (1982),Roger Vailland| Monique Lange,,Joseph Losey,Isabelle Huppert| Jean-Pierre Cassel| Jacques Spiesser| Jeanne Moreau,
160890,He Who Must Die (1957),Nikos Kazantzakis| André Obey| Ben Barzman,,Jules Dassin,Jean Servais| Grégoire Aslan| Carl Möhner| Gert Fröbe,
160712,Candy Stripers (2006),Jill Garson,,Kate Robbins,Nicole Rayburn| Brian Lloyd| Tori White| Deanna Brooks,
60649,Space Chimps (2008),Jason Mayland| Robert Moreland| Joe Piscatella,,Kirk DeMicco,Jeff Daniels| Cheryl Hines| Andy Samberg| Stanley Tucci,
